år,ruteform,statistikkvariabel,Alle transportformer,Buss,Båt,Jernbane,Sporvei og forstadsbane
2020,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,2932636.0,364706.0,0.0,1126271.0
2020,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,244679.0,5706.0,0.0,109728.0
2020,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,287399.0,5944.0,0.0,109788.0
2020,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,42720.0,238.0,0.0,60.0
2020,I alt,Billettinntekter (1 000 kr),8543643.0,3478613.0,381317.0,3557442.0,1126271.0
2020,I alt,Ordinære (1 000 passasjerer),364899.0,247939.0,7233.0,0.0,109728.0
2020,I alt,Passasjerer i alt (1 000 passasjerer),450516.0,290659.0,7471.0,42599.0,109788.0
2020,I alt,Skoleskyss (1 000 passasjerer),43018.0,42720.0,238.0,0.0,60.0
2020,Kommersielle ruter,Billettinntekter (1 000 kr),0.0,545976.0,16612.0,0.0,0.0
2020,Kommersielle ruter,Ordinære (1 000 passasjerer),0.0,3260.0,1527.0,0.0,0.0
2020,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),0.0,3260.0,1527.0,0.0,0.0
2020,Kommersielle ruter,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0,0.0,0.0
2021,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,3015705.0,386004.0,0.0,1160991.0
2021,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,250334.0,5783.0,0.0,114842.0
2021,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,304929.0,6106.0,0.0,114946.0
2021,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,54596.0,323.0,0.0,104.0
2021,I alt,Billettinntekter (1 000 kr),8658360.0,3494534.0,404733.0,3598103.0,1160991.0
2021,I alt,Ordinære (1 000 passasjerer),375074.0,252828.0,7404.0,0.0,114842.0
2021,I alt,Passasjerer i alt (1 000 passasjerer),471498.0,307424.0,7727.0,41401.0,114946.0
2021,I alt,Skoleskyss (1 000 passasjerer),55022.0,54596.0,323.0,0.0,104.0
2021,Kommersielle ruter,Billettinntekter (1 000 kr),0.0,478829.0,18729.0,0.0,0.0
2021,Kommersielle ruter,Ordinære (1 000 passasjerer),0.0,2494.0,1621.0,0.0,0.0
2021,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),0.0,2494.0,1621.0,0.0,0.0
2021,Kommersielle ruter,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0,0.0,0.0
2022,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,4388083.0,536159.0,0.0,1841388.0
2022,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,326202.0,7753.0,0.0,162131.0
2022,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,381956.0,8201.0,0.0,162294.0
2022,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,55754.0,448.0,0.0,164.0
2022,I alt,Billettinntekter (1 000 kr),13614076.0,5269509.0,561794.0,5941385.0,1841388.0
2022,I alt,Ordinære (1 000 passasjerer),503120.0,331197.0,9792.0,0.0,162131.0
2022,I alt,Passasjerer i alt (1 000 passasjerer),626181.0,386951.0,10240.0,66695.0,162294.0
2022,I alt,Skoleskyss (1 000 passasjerer),56366.0,55754.0,448.0,0.0,164.0
2022,Kommersielle ruter,Billettinntekter (1 000 kr),0.0,881425.0,25635.0,0.0,0.0
2022,Kommersielle ruter,Ordinære (1 000 passasjerer),0.0,4995.0,2039.0,0.0,0.0
2022,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),0.0,4995.0,2039.0,0.0,0.0
2022,Kommersielle ruter,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0,0.0,0.0
2023,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,5147741.0,575691.0,0.0,1964282.0
2023,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,379662.0,8134.0,0.0,184504.0
2023,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,433229.0,8495.0,0.0,184748.0
2023,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,53567.0,361.0,0.0,245.0
2023,I alt,Billettinntekter (1 000 kr),15839670.0,6589795.0,603187.0,6682407.0,1964282.0
2023,I alt,Ordinære (1 000 passasjerer),580651.0,385857.0,10290.0,0.0,184504.0
2023,I alt,Passasjerer i alt (1 000 passasjerer),713044.0,439424.0,10652.0,78220.0,184748.0
2023,I alt,Skoleskyss (1 000 passasjerer),54173.0,53567.0,361.0,0.0,245.0
2023,Kommersielle ruter,Billettinntekter (1 000 kr),0.0,1442054.0,27497.0,0.0,0.0
2023,Kommersielle ruter,Ordinære (1 000 passasjerer),0.0,6195.0,2157.0,0.0,0.0
2023,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),0.0,6195.0,2157.0,0.0,0.0
2023,Kommersielle ruter,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0,0.0,0.0
