år,transportmåte,statistikkvariabel,Fylkeskommunale ruter,I alt,Kommersielle ruter
2018,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),189008.0,189008.0,0.0
2018,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),189122.0,189122.0,0.0
2018,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),115.0,115.0,0.0
2019,Alle transportformer,Billettinntekter (1 000 kr),0.0,15301043.0,0.0
2019,Alle transportformer,Ordinære (1 000 passasjerer),0.0,578018.0,0.0
2019,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,718193.0,0.0
2019,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,59781.0,0.0
2019,Buss,Billettinntekter (1 000 kr),5005928.0,6325195.0,1319267.0
2019,Buss,Ordinære (1 000 passasjerer),365796.0,374864.0,9067.0
2019,Buss,Passasjerer i alt (1 000 passasjerer),425158.0,434226.0,9067.0
2019,Buss,Skoleskyss (1 000 passasjerer),59362.0,59362.0,0.0
2019,Båt,Billettinntekter (1 000 kr),578390.0,609018.0,30629.0
2019,Båt,Ordinære (1 000 passasjerer),9098.0,11280.0,2182.0
2019,Båt,Passasjerer i alt (1 000 passasjerer),9400.0,11582.0,2182.0
2019,Båt,Skoleskyss (1 000 passasjerer),302.0,302.0,0.0
2019,Jernbane,Billettinntekter (1 000 kr),0.0,6371499.0,0.0
2019,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2019,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,80394.0,0.0
2019,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2019,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1995331.0,1995331.0,0.0
2019,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),191875.0,191875.0,0.0
2019,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),191991.0,191991.0,0.0
2019,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),116.0,116.0,0.0
2020,Alle transportformer,Billettinntekter (1 000 kr),0.0,8543643.0,0.0
2020,Alle transportformer,Ordinære (1 000 passasjerer),0.0,364899.0,0.0
2020,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,450516.0,0.0
2020,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,43018.0,0.0
2020,Buss,Billettinntekter (1 000 kr),2932636.0,3478613.0,545976.0
2020,Buss,Ordinære (1 000 passasjerer),244679.0,247939.0,3260.0
2020,Buss,Passasjerer i alt (1 000 passasjerer),287399.0,290659.0,3260.0
2020,Buss,Skoleskyss (1 000 passasjerer),42720.0,42720.0,0.0
2020,Båt,Billettinntekter (1 000 kr),364706.0,381317.0,16612.0
2020,Båt,Ordinære (1 000 passasjerer),5706.0,7233.0,1527.0
2020,Båt,Passasjerer i alt (1 000 passasjerer),5944.0,7471.0,1527.0
2020,Båt,Skoleskyss (1 000 passasjerer),238.0,238.0,0.0
2020,Jernbane,Billettinntekter (1 000 kr),0.0,3557442.0,0.0
2020,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2020,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,42599.0,0.0
2020,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2020,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1126271.0,1126271.0,0.0
2020,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),109728.0,109728.0,0.0
2020,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),109788.0,109788.0,0.0
2020,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),60.0,60.0,0.0
2021,Alle transportformer,Billettinntekter (1 000 kr),0.0,8658360.0,0.0
2021,Alle transportformer,Ordinære (1 000 passasjerer),0.0,375074.0,0.0
2021,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,471498.0,0.0
2021,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,55022.0,0.0
2021,Buss,Billettinntekter (1 000 kr),3015705.0,3494534.0,478829.0
2021,Buss,Ordinære (1 000 passasjerer),250334.0,252828.0,2494.0
2021,Buss,Passasjerer i alt (1 000 passasjerer),304929.0,307424.0,2494.0
2021,Buss,Skoleskyss (1 000 passasjerer),54596.0,54596.0,0.0
2021,Båt,Billettinntekter (1 000 kr),386004.0,404733.0,18729.0
2021,Båt,Ordinære (1 000 passasjerer),5783.0,7404.0,1621.0
2021,Båt,Passasjerer i alt (1 000 passasjerer),6106.0,7727.0,1621.0
2021,Båt,Skoleskyss (1 000 passasjerer),323.0,323.0,0.0
2021,Jernbane,Billettinntekter (1 000 kr),0.0,3598103.0,0.0
2021,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2021,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,41401.0,0.0
2021,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2021,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1160991.0,1160991.0,0.0
2021,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),114842.0,114842.0,0.0
2021,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),114946.0,114946.0,0.0
2021,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),104.0,104.0,0.0
2022,Alle transportformer,Billettinntekter (1 000 kr),0.0,13614076.0,0.0
2022,Alle transportformer,Ordinære (1 000 passasjerer),0.0,503120.0,0.0
